packageName,version,user,isCommitted,experimentToken,serverToken,configHash,servingVersion,tokensTag,flagsHash
com.google.android.gms.usagereporting,214,,1,b'\x08\x03\x12\t\x15\x00\xaa\xc3\x85\x15\x04\x02\x04',CAESOQDyi0h8QmwTq-SZiwn09C6wBnJ0kXVhR9rMfekIFoLhuLNq4y-fKKJvaZUmpfIcyUiRELjGNwETiw,1102294804,1618431900,b'7d858ed6',
com.google.android.gms.clearcut.public,229,,1,b'\x08\x03\x12\x07\x15\x02\x80\xf7\xdc\x0b\x04',CAESKQDyi0h81OySWBJOLgchMIduQB0yw20lpG328eHiztjlW7RAVzz9NdeZ,-1814273855,1624382700,b'fa6d007c',
com.google.android.gms.permissions,212418000,,1,b'\x08\x03\x12\x00',CAESKQDyi0h8PiwkKuwL66ayTQ9Gx6lgnB2F2bQ8D0rICBZgy5f8JUpTaTxZ,-1318477182,1626454500,b'00691232',
com.google.android.gms.gcm,1400,,1,b'\x08\x03\x12\t\x15\x00\xc2\xf5\xcb\r\x04F\x04',CAESOQDyi0h8jlvF2w40zcVwz_9GQZwt44YKPoiBXHFKGkMrQmmd0SY4L6eIguWoNeaa6LQivAAAcdyjYw,1775657278,1626454500,b'42f5f92a',
com.google.android.gms.phenotype,229,,1,b'\x08\x03\x12\t\x15\x00\x82\xcd\x8a\x00\x04\x16\x04',CAESOQDyi0h8F37TABmMFSKyzLG46w7ynNtzzEUvljmXdLYY1-xah5oarmEVdkv_TkeEK2S7YRXDPAPQ4A,-349240591,1626923400,b'9b462bb6',
com.google.android.gms.playlog.uploader,229,,1,b'\x08\x03\x12\x07\x15\x02\xff\xf6\xdc\x0b\x04',CAESKQDyi0h8YXaJh-4JA6HbmTz7KTLiF-FskJJNP9YsGMoUpPUzJK3fe6N1,1479602524,1626923400,b'9741ae66',
